task,Название,Краткая формулировка,Тема,Уровень сложности
"Вычислить $\displaystyle \lim_{n \to \infty} \frac{n \cos(n^2 + e^n)}{2^n - 1}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел последовательности с косинусом,Вычислить предел последовательности $\frac{n \cos(n^2 + e^n)}{2^n - 1}$ при $n \to \infty$.,Мат. анализ,легкий
"Вычислить $\displaystyle \lim_{n \to \infty} (\sqrt{n + 1} - \sqrt{n})$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел разности корней,Вычислить предел $\lim_{n \to \infty} (\sqrt{n + 1} - \sqrt{n})$.,Мат. анализ,легкий
"Вычислить интеграл: $\displaystyle \int_{0}^{\pi} \sin 2x dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определенного интеграла синуса,Вычислить определенный интеграл $\int_{0}^{\pi} \sin 2x dx$.,Мат. анализ,легкий
"Два охотника стреляют по волку (вероятности попадания 0.7 и 0.8). Найти вероятность хотя бы одного попадания по одному выстрелу. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вероятность хотя бы одного попадания,Найти вероятность хотя бы одного попадания по волку при двух стрелках с заданными вероятностями попадания.,Теор. вер. и статистика,легкий
"Вычисли $ \displaystyle \int_1^2 \dfrac{2e^{2x}-e^x}{\sqrt{3e^{2x}-6e^x-1}}dx$.Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определённого интеграла,Вычислить определённый интеграл с экспоненциальными функциями,Мат. анализ,средний
"Существует 8! восьмизначных положительных чисел, которые используют каждую из цифр 1,2,3,4,5,6,7,8 ровно один раз. Пусть $ N - $ количество таких чисел, которые делятся на 22. Найди модуль разности $ N - 2025.$Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Количество чисел, делящихся на 22","Найти количество 8-значных чисел из цифр 1-8 без повторений, делящихся на 22, и вычислить модуль разности с 2025.",теория чисел,средний
"Вычисли $ \displaystyle \int_0^1 \dfrac{4}{x^4+4}dx$.Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определенного интеграла,Вычислить определенный интеграл от рациональной функции,Мат. анализ,средний
"Вычислить несобственный интеграл: $\displaystyle \int_{2}^{+\infty} \frac{dx}{x^2+2x-3}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление несобственного интеграла,Вычислить несобственный интеграл от рациональной функции.,Мат. анализ,средний
"Найдите сумму ряда: $\displaystyle \frac{1}{1 \cdot 2 \cdot 3} + \frac{1}{2 \cdot 3 \cdot 4} + \frac{1}{3 \cdot 4 \cdot 5} + \frac{1}{4 \cdot 5 \cdot 6} + \ldots$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Сумма ряда с произведениями в знаменателе,Найти сумму ряда $\sum_{n=1}^{\infty} \frac{1}{n(n+1)(n+2)}$,Мат. анализ,средний
"Найти вероятность правильно угадать 2 последние разные нечетные цифры номера. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вероятность угадать две последние разные нечетные цифры,Найти вероятность правильно угадать 2 последние разные нечетные цифры номера.,Теор. вер. и статистика,легкий
