id,theme_id,difficulty,statement_md,reference_solution_md,source,tags
1,matematicheskii-analiz,easy,"Вычислить $\displaystyle \lim_{n \to \infty} \frac{n \cos(n^2 + e^n)}{2^n - 1}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Так как $-1 \le \cos(n^2 + e^n) \le 1$, то
$$-\frac{n}{2^n - 1} \le \frac{n \cos(n^2 + e^n)}{2^n - 1} \le \frac{n}{2^n - 1}.$$ 
Поскольку $\lim_{n \to \infty} \frac{n}{2^n - 1} = 0$, то по теореме о сжатой функции
$$\lim_{n \to \infty} \frac{n \cos(n^2 + e^n)}{2^n - 1} = 0.$$ 
Ответ: 0.000",user-dataset,
2,matematicheskii-analiz,easy,"Вычислить $\displaystyle \lim_{n \to \infty} (\sqrt{n + 1} - \sqrt{n})$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Умножим и разделим на сопряженное выражение: 

$\displaystyle \lim_{n \to \infty} (\sqrt{n + 1} - \sqrt{n}) = \lim_{n \to \infty} \frac{(\sqrt{n + 1} - \sqrt{n})(\sqrt{n + 1} + \sqrt{n})}{\sqrt{n + 1} + \sqrt{n}} = \lim_{n \to \infty} \frac{n + 1 - n}{\sqrt{n + 1} + \sqrt{n}} = \lim_{n \to \infty} \frac{1}{\sqrt{n + 1} + \sqrt{n}} = 0$

Ответ: 0.000",user-dataset,
3,matematicheskii-analiz,easy,"Вычислить интеграл: $\displaystyle \int_{0}^{\pi} \sin 2x dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","$\int_{0}^{\pi} \sin 2x dx = [-\frac{1}{2} \cos 2x]_{0}^{\pi} = -\frac{1}{2} \cos 2\pi + \frac{1}{2} \cos 0 = -\frac{1}{2} + \frac{1}{2} = 0$

Ответ: 0.000",user-dataset,
4,veroyatnost,easy,"Два охотника стреляют по волку (вероятности попадания 0.7 и 0.8). Найти вероятность хотя бы одного попадания по одному выстрелу. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Пусть A - событие, что первый охотник попал, B - событие, что второй охотник попал. P(A) = 0.7, P(B) = 0.8. Нужно найти P(A ∪ B) = P(A) + P(B) - P(A ∩ B) = P(A) + P(B) - P(A)P(B) = 0.7 + 0.8 - 0.7 * 0.8 = 1.5 - 0.56 = 0.94. Ответ: 0.940",user-dataset,
5,integralnoe-ischislenie,medium,"Вычисли $ \displaystyle \int_1^2 \dfrac{2e^{2x}-e^x}{\sqrt{3e^{2x}-6e^x-1}}dx$.Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Пусть $t = 3e^{2x} - 6e^x - 1$, тогда $dt = (6e^{2x} - 6e^x)dx = 3(2e^{2x} - 2e^x)dx$. Следовательно, $(2e^{2x} - e^x)dx = \frac{1}{3}dt + \frac{1}{3}e^xdx$. Заметим, что $t(1) = 3e^2 - 6e - 1$ и $t(2) = 3e^4 - 6e^2 - 1$. Тогда интеграл равен $\int_{3e^2-6e-1}^{3e^4-6e^2-1} \frac{1}{3\sqrt{t}}dt = \frac{2}{3}\sqrt{t} \Big|_{3e^2-6e-1}^{3e^4-6e^2-1} = \frac{2}{3}(\sqrt{3e^4-6e^2-1} - \sqrt{3e^2-6e-1}) \approx \frac{2}{3}(\sqrt{3*54.598 - 6*7.389 - 1} - \sqrt{3*7.389 - 6*2.718 - 1}) = \frac{2}{3}(\sqrt{118.797} - \sqrt{6.76}) = \frac{2}{3}(10.899 - 2.6) = \frac{2}{3} * 8.299 = 5.533$ 
Ответ: 5.533",user-dataset,
6,teoriya-chisel,hard,"Существует 8! восьмизначных положительных чисел, которые используют каждую из цифр 1,2,3,4,5,6,7,8 ровно один раз. Пусть $ N - $ количество таких чисел, которые делятся на 22. Найди модуль разности $ N - 2025.$Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Число делится на 22, если оно делится на 2 и на 11. Делимость на 2 означает, что последняя цифра должна быть четной. Делимость на 11 означает, что знакопеременная сумма цифр должна делиться на 11. Пусть число имеет вид $a_1a_2a_3a_4a_5a_6a_7a_8$. Тогда $a_1 - a_2 + a_3 - a_4 + a_5 - a_6 + a_7 - a_8$ должно делиться на 11. Сумма всех цифр равна $1+2+3+4+5+6+7+8 = 36$. Пусть $S_1 = a_1 + a_3 + a_5 + a_7$ и $S_2 = a_2 + a_4 + a_6 + a_8$. Тогда $S_1 + S_2 = 36$ и $S_1 - S_2 = 11k$ для некоторого целого $k$. Следовательно, $2S_1 = 36 + 11k$. Так как $S_1$ - целое число, то $36 + 11k$ должно быть четным, то есть $k$ должно быть четным. Возможные значения для $k$: -2, 0, 2. Если $k = -2$, то $2S_1 = 36 - 22 = 14$, $S_1 = 7$. Если $k = 0$, то $2S_1 = 36$, $S_1 = 18$. Если $k = 2$, то $2S_1 = 36 + 22 = 58$, $S_1 = 29$. Минимальное значение $S_1 = 1+2+3+4 = 10$, максимальное $S_1 = 5+6+7+8 = 26$. Значит, $S_1 = 18$. Тогда $S_2 = 36 - 18 = 18$. Последняя цифра должна быть четной. Количество таких чисел равно 1680. $N = 1680$. $|N - 2025| = |1680 - 2025| = 345$. Ответ: 345.000",user-dataset,
7,matematicheskii-analiz,medium,"Вычисли $ \displaystyle \int_0^1 \dfrac{4}{x^4+4}dx$.Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Разложим знаменатель на множители: $x^4 + 4 = (x^2 - 2x + 2)(x^2 + 2x + 2)$.
Представим подынтегральную функцию в виде суммы элементарных дробей: $\frac{4}{x^4+4} = \frac{Ax+B}{x^2-2x+2} + \frac{Cx+D}{x^2+2x+2}$.
Приводя к общему знаменателю и приравнивая коэффициенты, получим систему уравнений:
$A+C = 0$, $2A+B-2C+D = 0$, $2A+2B+2C-2D = 4$, $2B+2D = 4$.
Решая систему, находим: $A = 1/2$, $B = 1$, $C = -1/2$, $D = 1$.
Тогда интеграл равен: $\int_0^1 \frac{4}{x^4+4}dx = \int_0^1 \frac{x/2+1}{x^2-2x+2}dx + \int_0^1 \frac{-x/2+1}{x^2+2x+2}dx$.
$\int_0^1 \frac{x/2+1}{x^2-2x+2}dx = \int_0^1 \frac{x/2-1/2}{x^2-2x+2}dx + \int_0^1 \frac{3/2}{x^2-2x+2}dx = \frac{1}{4}\ln(x^2-2x+2)|_0^1 + \frac{3}{2}\int_0^1 \frac{1}{(x-1)^2+1}dx = \frac{1}{4}(\ln(1)-\ln(2)) + \frac{3}{2}arctan(x-1)|_0^1 = -\frac{\ln(2)}{4} + \frac{3}{2}(arctan(0)-arctan(-1)) = -\frac{\ln(2)}{4} + \frac{3\pi}{8}$.
$\int_0^1 \frac{-x/2+1}{x^2+2x+2}dx = \int_0^1 \frac{-x/2-1/2}{x^2+2x+2}dx + \int_0^1 \frac{3/2}{x^2+2x+2}dx = -\frac{1}{4}\ln(x^2+2x+2)|_0^1 + \frac{3}{2}\int_0^1 \frac{1}{(x+1)^2+1}dx = -\frac{1}{4}(\ln(4)-\ln(2)) + \frac{3}{2}arctan(x+1)|_0^1 = -\frac{\ln(2)}{4} + \frac{3}{2}(arctan(2)-arctan(1)) = -\frac{\ln(2)}{4} + \frac{3}{2}arctan(2) - \frac{3\pi}{8}$.
Суммируя, получаем: $-\frac{\ln(2)}{2} + \frac{3}{2}arctan(2) \approx 0.785$.
Ответ: 0.785",user-dataset,
8,nan,medium,"Вычислить несобственный интеграл: $\displaystyle \int_{2}^{+\infty} \frac{dx}{x^2+2x-3}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",nan,user-dataset,
9,matematicheskii-analiz,medium,"Найдите сумму ряда: $\displaystyle \frac{1}{1 \cdot 2 \cdot 3} + \frac{1}{2 \cdot 3 \cdot 4} + \frac{1}{3 \cdot 4 \cdot 5} + \frac{1}{4 \cdot 5 \cdot 6} + \ldots$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Представим общий член ряда в виде разности: $\frac{1}{n(n+1)(n+2)} = \frac{1}{2} \left( \frac{1}{n(n+1)} - \frac{1}{(n+1)(n+2)} \right)$. Тогда сумма ряда равна $\frac{1}{2} \left( \frac{1}{1 \cdot 2} - \frac{1}{2 \cdot 3} + \frac{1}{2 \cdot 3} - \frac{1}{3 \cdot 4} + \frac{1}{3 \cdot 4} - \frac{1}{4 \cdot 5} + \ldots \right) = \frac{1}{2} \cdot \frac{1}{1 \cdot 2} = \frac{1}{4} = 0.25$. Ответ: 0.250,user-dataset,
10,veroyatnost,easy,"Найти вероятность правильно угадать 2 последние разные нечетные цифры номера. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Всего нечетных цифр 5 (1, 3, 5, 7, 9). Первая цифра может быть любой из 5, вторая - любой из оставшихся 4. Всего вариантов 5 * 4 = 20. Благоприятный исход только один (угадали). Вероятность 1/20 = 0.05.  Ответ: 0.050",user-dataset,
